name/0,name/1,parameter/0/timerange/0/value/0,parameter/0/timerange/1/value/0,parameter/0/timerange/2/value/0,parameter/0/timerange/3/value/0,parameter/0/timerange/4/value/0,parameter/0/timerange/5/value/0,parameter/0/timerange/6/value/0,parameter/0/timerange/7/value/0,parameter/0/timerange/8/value/0,parameter/0/timerange/9/value/0,parameter/0/timerange/10/value/0,parameter/0/timerange/11/value/0,parameter/1/timerange/0/value/0,parameter/1/timerange/1/value/0,parameter/1/timerange/2/value/0,parameter/2/timerange/0/value/0,parameter/2/timerange/0/value/1,parameter/2/timerange/1/value/0,parameter/2/timerange/1/value/1,parameter/2/timerange/2/value/0,parameter/2/timerange/2/value/1,parameter/3/timerange/0/value/0,parameter/3/timerange/1/value/0,parameter/3/timerange/2/value/0,parameter/4/timerange/0/value/0,parameter/4/timerange/0/value/1,parameter/4/timerange/1/value/0,parameter/4/timerange/1/value/1,parameter/4/timerange/2/value/0,parameter/4/timerange/2/value/1,parameter/5/timerange/0/value/0,parameter/5/timerange/0/value/1,parameter/5/timerange/1/value/0,parameter/5/timerange/1/value/1,parameter/5/timerange/2/value/0,parameter/5/timerange/2/value/1,parameter/5/timerange/3/value/0,parameter/5/timerange/3/value/1,parameter/5/timerange/4/value/0,parameter/5/timerange/4/value/1,parameter/5/timerange/5/value/0,parameter/5/timerange/5/value/1,parameter/5/timerange/6/value/0,parameter/5/timerange/6/value/1,parameter/5/timerange/7/value/0,parameter/5/timerange/7/value/1,parameter/5/timerange/8/value/0,parameter/5/timerange/8/value/1,parameter/5/timerange/9/value/0,parameter/5/timerange/9/value/1,parameter/5/timerange/10/value/0,parameter/5/timerange/10/value/1,parameter/5/timerange/11/value/0,parameter/5/timerange/11/value/1,parameter/6/timerange/0/value/0,parameter/6/timerange/1/value/0,parameter/6/timerange/2/value/0,parameter/6/timerange/3/value/0,parameter/6/timerange/4/value/0,parameter/6/timerange/5/value/0,parameter/6/timerange/6/value/0,parameter/6/timerange/7/value/0,parameter/6/timerange/8/value/0,parameter/6/timerange/9/value/0,parameter/6/timerange/10/value/0,parameter/6/timerange/11/value/0,parameter/7/timerange/0/value/0,parameter/7/timerange/0/value/1,parameter/7/timerange/0/value/2,parameter/7/timerange/1/value/0,parameter/7/timerange/1/value/1,parameter/7/timerange/1/value/2,parameter/7/timerange/2/value/0,parameter/7/timerange/2/value/1,parameter/7/timerange/2/value/2,parameter/7/timerange/3/value/0,parameter/7/timerange/3/value/1,parameter/7/timerange/3/value/2,parameter/7/timerange/4/value/0,parameter/7/timerange/4/value/1,parameter/7/timerange/4/value/2,parameter/7/timerange/5/value/0,parameter/7/timerange/5/value/1,parameter/7/timerange/5/value/2,parameter/7/timerange/6/value/0,parameter/7/timerange/6/value/1,parameter/7/timerange/6/value/2,parameter/7/timerange/7/value/0,parameter/7/timerange/7/value/1,parameter/7/timerange/7/value/2,parameter/7/timerange/8/value/0,parameter/7/timerange/8/value/1,parameter/7/timerange/8/value/2,parameter/7/timerange/9/value/0,parameter/7/timerange/9/value/1,parameter/7/timerange/9/value/2,parameter/7/timerange/10/value/0,parameter/7/timerange/10/value/1,parameter/7/timerange/10/value/2,parameter/7/timerange/11/value/0,parameter/7/timerange/11/value/1,parameter/7/timerange/11/value/2,parameter/8/timerange/0/value/0,parameter/8/timerange/0/value/1,parameter/8/timerange/0/value/2,parameter/8/timerange/0/value/3,parameter/8/timerange/1/value/0,parameter/8/timerange/1/value/1,parameter/8/timerange/1/value/2,parameter/8/timerange/1/value/3,parameter/8/timerange/2/value/0,parameter/8/timerange/2/value/1,parameter/8/timerange/2/value/2,parameter/8/timerange/2/value/3,parameter/8/timerange/3/value/0,parameter/8/timerange/3/value/1,parameter/8/timerange/3/value/2,parameter/8/timerange/3/value/3,parameter/8/timerange/4/value/0,parameter/8/timerange/4/value/1,parameter/8/timerange/4/value/2,parameter/8/timerange/4/value/3,parameter/8/timerange/5/value/0,parameter/8/timerange/5/value/1,parameter/8/timerange/5/value/2,parameter/8/timerange/5/value/3,parameter/8/timerange/6/value/0,parameter/8/timerange/6/value/1,parameter/8/timerange/6/value/2,parameter/8/timerange/6/value/3,parameter/8/timerange/7/value/0,parameter/8/timerange/7/value/1,parameter/8/timerange/7/value/2,parameter/8/timerange/7/value/3,parameter/8/timerange/8/value/0,parameter/8/timerange/8/value/1,parameter/8/timerange/8/value/2,parameter/8/timerange/8/value/3,parameter/8/timerange/9/value/0,parameter/8/timerange/9/value/1,parameter/8/timerange/9/value/2,parameter/8/timerange/9/value/3,parameter/8/timerange/10/value/0,parameter/8/timerange/10/value/1,parameter/8/timerange/10/value/2,parameter/8/timerange/10/value/3,parameter/8/timerange/11/value/0,parameter/8/timerange/11/value/1,parameter/8/timerange/11/value/2,parameter/8/timerange/11/value/3
Bandung,Kota Bandung,85,75,85,95,80,75,85,95,80,65,85,90,95,95,95,30,86,29,84.2,32,89.6,75,75,65,19,66.2,19,66.2,19,66.2,20,68,30,86,25,77,22,71.6,19,66.2,29,84.2,24,75.2,21,69.8,24,75.2,32,89.6,24,75.2,23,73.4,3,95,61,3,1,61,61,1,1,61,61,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Banjar,Kota Banjar,85,75,85,95,80,75,85,95,80,65,85,90,95,95,95,30,86,30,86,32,89.6,75,75,65,20,68,20,68,21,69.8,24,75.2,30,86,25,77,22,71.6,24,75.2,30,86,24,75.2,22,71.6,24,75.2,32,89.6,24,75.2,23,73.4,3,63,60,60,1,61,60,1,1,61,61,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Bekasi,Kota Bekasi,80,70,85,95,75,70,85,95,75,65,85,90,95,95,95,32,89.6,32,89.6,32,89.6,70,70,65,21,69.8,21,69.8,22,71.6,26,78.8,32,89.6,26,78.8,23,73.4,26,78.8,32,89.6,25,77,23,73.4,26,78.8,32,89.6,24,75.2,23,73.4,60,61,60,60,1,61,1,1,1,61,1,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Ciamis,Kab. Ciamis,85,75,85,95,80,75,85,95,80,65,85,90,95,95,95,30,86,30,86,32,89.6,75,75,65,20,68,20,68,21,69.8,24,75.2,30,86,25,77,22,71.6,24,75.2,30,86,24,75.2,22,71.6,24,75.2,32,89.6,24,75.2,23,73.4,3,63,60,60,1,61,60,1,1,61,61,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Cianjur,Kab. Cianjur,85,75,85,95,80,75,85,95,80,65,85,90,95,95,95,30,86,29,84.2,32,89.6,75,75,65,19,66.2,19,66.2,19,66.2,20,68,30,86,25,77,22,71.6,19,66.2,29,84.2,24,75.2,21,69.8,24,75.2,32,89.6,24,75.2,23,73.4,3,95,60,3,1,61,60,1,1,61,1,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Cibinong,Kab. Bogor,85,75,85,95,80,70,85,95,80,65,85,90,95,95,95,30,86,30,86,32,89.6,75,70,65,21,69.8,21,69.8,21,69.8,24,75.2,30,86,25,77,23,73.4,24,75.2,30,86,24,75.2,22,71.6,24,75.2,32,89.6,24,75.2,23,73.4,1,61,60,3,1,61,60,1,1,61,1,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Cikarang,Kab. Bekasi,80,70,85,95,75,70,85,95,75,65,85,90,95,95,95,32,89.6,32,89.6,32,89.6,70,70,65,21,69.8,21,69.8,22,71.6,26,78.8,32,89.6,26,78.8,23,73.4,26,78.8,32,89.6,25,77,23,73.4,26,78.8,32,89.6,24,75.2,23,73.4,60,61,60,60,1,61,1,1,1,61,1,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Cimahi,Kota Cimahi,85,75,85,95,80,75,85,95,80,65,85,90,95,95,95,30,86,29,84.2,32,89.6,75,75,65,19,66.2,19,66.2,19,66.2,20,68,30,86,25,77,22,71.6,19,66.2,29,84.2,24,75.2,21,69.8,24,75.2,32,89.6,24,75.2,23,73.4,3,60,61,3,1,61,61,1,1,61,61,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Cipanas,Kab. Cianjur,85,75,85,95,80,75,85,95,80,65,85,90,95,95,95,30,86,29,84.2,32,89.6,75,75,65,19,66.2,19,66.2,19,66.2,20,68,30,86,24,75.2,21,69.8,19,66.2,29,84.2,24,75.2,21,69.8,24,75.2,32,89.6,24,75.2,23,73.4,3,95,60,3,1,61,60,1,1,61,1,1,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
Cirebon,Kota Cirebon,80,70,85,95,75,70,85,95,75,65,85,90,95,95,95,32,89.6,32,89.6,32,89.6,70,70,65,21,69.8,21,69.8,22,71.6,26,78.8,32,89.6,26,78.8,23,73.4,26,78.8,32,89.6,25,77,23,73.4,26,78.8,32,89.6,24,75.2,23,73.4,3,61,60,60,1,61,60,1,1,61,61,60,180,S,18000,90,E,9000,180,S,18000,247.5,WSW,24730,180,S,18000,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,247.5,WSW,24730,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,15,17.26169175,27.78,7.71666666,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,2,2.3015589,3.704,1.028888888,10,11.5077945,18.52,5.14444444,5,5.75389725,9.26,2.57222222,2,2.3015589,3.704,1.028888888
